TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Month,MonthName,Year,DayOfWeek,DaysSinceLastTxn,BalanceUtilisationPct,AmountPerMinute,IsAnomaly,IsHighRisk
TX000001,AC00128,14.09,2023-04-11 16:29:14,Debit,San Diego,ATM,70,Doctor,81,1,5112.21,2024-11-04 08:08:08,4,Apr,2023,Tuesday,573,0.28,0.17,0,0
TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,Houston,ATM,68,Doctor,141,1,13758.91,2024-11-04 08:09:35,6,Jun,2023,Tuesday,496,2.73,2.67,0,0
TX000003,AC00019,126.29,2023-07-10 18:16:08,Debit,Mesa,Online,19,Student,56,1,1122.35,2024-11-04 08:07:04,7,Jul,2023,Monday,483,11.25,2.26,0,0
TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Raleigh,Online,26,Student,25,1,8569.06,2024-11-04 08:09:06,5,May,2023,Friday,549,2.15,7.38,0,0
TX000005,AC00411,13.45,2023-10-16 17:51:24,Credit,Atlanta,Online,26,Student,198,1,7429.4,2024-11-04 08:06:39,10,Oct,2023,Monday,385,0.18,0.07,0,0
TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,ATM,18,Student,172,1,781.68,2024-11-04 08:06:36,4,Apr,2023,Monday,581,11.79,0.54,0,0
TX000007,AC00199,7.08,2023-02-15 16:36:48,Credit,Seattle,ATM,37,Doctor,139,1,13316.71,2024-11-04 08:10:09,2,Feb,2023,Wednesday,628,0.05,0.05,0,0
TX000008,AC00069,171.42,2023-05-08 17:47:59,Credit,Indianapolis,Branch,67,Retired,291,1,2796.24,2024-11-04 08:10:55,5,May,2023,Monday,546,6.13,0.59,0,0
TX000009,AC00135,106.23,2023-03-21 16:59:46,Credit,Detroit,Branch,51,Engineer,86,1,9095.14,2024-11-04 08:11:14,3,Mar,2023,Tuesday,594,1.17,1.24,0,0
TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,Nashville,ATM,55,Doctor,120,1,1021.88,2024-11-04 08:06:32,3,Mar,2023,Friday,584,79.85,6.8,0,0
TX000011,AC00150,17.78,2023-03-14 16:46:10,Credit,Albuquerque,Online,52,Engineer,59,1,7599.52,2024-11-04 08:06:45,3,Mar,2023,Tuesday,601,0.23,0.3,0,0
TX000012,AC00459,190.02,2023-02-06 17:30:00,Debit,Memphis,Online,21,Student,173,1,1528.81,2024-11-04 08:07:12,2,Feb,2023,Monday,637,12.43,1.1,0,0
TX000013,AC00392,494.52,2023-06-07 17:21:28,Credit,Mesa,Branch,24,Student,111,1,1620.02,2024-11-04 08:08:38,6,Jun,2023,Wednesday,516,30.53,4.46,0,0
